"Species";"AUC";"type";"model_type";"taxa"
"Amnirana_galamensis";0,688534;"Eco";"GAM";"Amphibian"
"Hydrolaetare_schmidti";0,652955;"Eco";"GAM";"Amphibian"
"Limnonectes_doriae";0,665663333333333;"Eco";"GAM";"Amphibian"
"Limnonectes_hascheanus";0,68541;"Eco";"GAM";"Amphibian"
"Limnonectes_laticeps";0,68932375;"Eco";"GAM";"Amphibian"
"Limnonectes_magnus";0,556166666666667;"Eco";"GAM";"Amphibian"
"Phrynobatrachus_perpalmatus";0,662103;"Eco";"GAM";"Amphibian"
"Ptychadena_porosissima";0,672207;"Eco";"GAM";"Amphibian"
"Ptychadena_schillukorum";0,696709;"Eco";"GAM";"Amphibian"
"Kassina_maculifer";0,579010357654359;"Eco";"GBM";"Amphibian"
"Limnonectes_hascheanus";0,677802359001998;"Eco";"GBM";"Amphibian"
"Limnonectes_laticeps";0,621094793262911;"Eco";"GBM";"Amphibian"
"Litoria_angiana";0,697680207622944;"Eco";"GBM";"Amphibian"
"Plethodon_serratus";0,677285043199137;"Eco";"GBM";"Amphibian"
"Acinonyx_jubatus";0,622836;"Eco";"GAM";"Mammal"
"Acomys_cineraceus";0,685115;"Eco";"GAM";"Mammal"
"Aepyceros_melampus";0,6648;"Eco";"GAM";"Mammal"
"Barbastella_leucomelas";0,664312;"Eco";"GAM";"Mammal"
"Belomys_pearsonii";0,645864;"Eco";"GAM";"Mammal"
"Bison_bison";0,628537;"Eco";"GAM";"Mammal"
"Blastocerus_dichotomus";0,689917;"Eco";"GAM";"Mammal"
"Bunomys_andrewsi";0,62583;"Eco";"GAM";"Mammal"
"Catopuma_temminckii";0,633328;"Eco";"GAM";"Mammal"
"Cercopithecus_mitis";0,63502;"Eco";"GAM";"Mammal"
"Chaerephon_ansorgei";0,682079;"Eco";"GAM";"Mammal"
"Chiroderma_salvini";0,689981;"Eco";"GAM";"Mammal"
"Chlorocebus_pygerythrus";0,692366;"Eco";"GAM";"Mammal"
"Choeroniscus_minor";0,681656;"Eco";"GAM";"Mammal"
"Coleura_afra";0,681609;"Eco";"GAM";"Mammal"
"Cricetulus_barabensis";0,675827;"Eco";"GAM";"Mammal"
"Crocidura_cyanea";0,690695;"Eco";"GAM";"Mammal"
"Crocidura_rhoditis";0,662895;"Eco";"GAM";"Mammal"
"Cuon_alpinus";0,643988;"Eco";"GAM";"Mammal"
"Dama_dama";0,662241428571429;"Eco";"GAM";"Mammal"
"Damaliscus_lunatus";0,645849;"Eco";"GAM";"Mammal"
"Dasyprocta_leporina";0,668231;"Eco";"GAM";"Mammal"
"Dermanura_phaeotis";0,678881;"Eco";"GAM";"Mammal"
"Diceros_bicornis";0,649718;"Eco";"GAM";"Mammal"
"Dobsonia_crenulata";0,693985;"Eco";"GAM";"Mammal"
"Elephantulus_brachyrhynchus";0,668072;"Eco";"GAM";"Mammal"
"Eptesicus_bottae";0,640699;"Eco";"GAM";"Mammal"
"Equus_quagga";0,658374;"Eco";"GAM";"Mammal"
"Felis_margarita";0,688159;"Eco";"GAM";"Mammal"
"Funisciurus_pyrropus";0,699909;"Eco";"GAM";"Mammal"
"Gerbillus_amoenus";0,696326;"Eco";"GAM";"Mammal"
"Gerbillus_henleyi";0,654205;"Eco";"GAM";"Mammal"
"Giraffa_camelopardalis";0,644205;"Eco";"GAM";"Mammal"
"Hippopotamus_amphibius";0,550862;"Eco";"GAM";"Mammal"
"Hipposideros_caffer";0,636105;"Eco";"GAM";"Mammal"
"Hipposideros_diadema";0,660758;"Eco";"GAM";"Mammal"
"Hypsugo_savii";0,659636;"Eco";"GAM";"Mammal"
"Lampronycteris_brachyotis";0,64567;"Eco";"GAM";"Mammal"
"Lemmus_amurensis";0,692006;"Eco";"GAM";"Mammal"
"Lemniscomys_zebra";0,688591;"Eco";"GAM";"Mammal"
"Lenomys_meyeri";0,668895;"Eco";"GAM";"Mammal"
"Lepus_capensis";0,659899;"Eco";"GAM";"Mammal"
"Lepus_tolai";0,698;"Eco";"GAM";"Mammal"
"Lophostoma_carrikeri";0,660171;"Eco";"GAM";"Mammal"
"Loxodonta_africana";0,558483;"Eco";"GAM";"Mammal"
"Lycaon_pictus";0,61155;"Eco";"GAM";"Mammal"
"Marmota_camtschatica";0,619154;"Eco";"GAM";"Mammal"
"Micronycteris_microtis";0,666059;"Eco";"GAM";"Mammal"
"Micronycteris_schmidtorum";0,661839;"Eco";"GAM";"Mammal"
"Microtus_fortis";0,675918;"Eco";"GAM";"Mammal"
"Microtus_gregalis";0,67258;"Eco";"GAM";"Mammal"
"Microtus_hyperboreus";0,67433;"Eco";"GAM";"Mammal"
"Microtus_ilaeus";0,687931111111111;"Eco";"GAM";"Mammal"
"Microtus_miurus";0,698921;"Eco";"GAM";"Mammal"
"Mimetillus_moloneyi";0,655776;"Eco";"GAM";"Mammal"
"Molossus_coibensis";0,666308;"Eco";"GAM";"Mammal"
"Mops_midas";0,608579;"Eco";"GAM";"Mammal"
"Murina_hilgendorfi";0,674499;"Eco";"GAM";"Mammal"
"Mus_minutoides";0,697563;"Eco";"GAM";"Mammal"
"Mustela_altaica";0,695322;"Eco";"GAM";"Mammal"
"Myotis_bechsteinii";0,671733;"Eco";"GAM";"Mammal"
"Myotis_bombinus";0,670366;"Eco";"GAM";"Mammal"
"Myotis_daubentonii";0,696854;"Eco";"GAM";"Mammal"
"Myotis_formosus";0,68911;"Eco";"GAM";"Mammal"
"Myotis_ikonnikovi";0,647297;"Eco";"GAM";"Mammal"
"Myotis_keaysi";0,692505;"Eco";"GAM";"Mammal"
"Myotis_tricolor";0,679281;"Eco";"GAM";"Mammal"
"Nycticeinops_schlieffeni";0,585738;"Eco";"GAM";"Mammal"
"Nyctinomops_aurispinosus";0,623348;"Eco";"GAM";"Mammal"
"Ochotona_turuchanensis";0,680678;"Eco";"GAM";"Mammal"
"Oecomys_roberti";0,644973;"Eco";"GAM";"Mammal"
"Oecomys_trinitatis";0,693063;"Eco";"GAM";"Mammal"
"Oligoryzomys_fulvescens";0,694922;"Eco";"GAM";"Mammal"
"Otocolobus_manul";0,696744;"Eco";"GAM";"Mammal"
"Ovis_nivicola";0,673435;"Eco";"GAM";"Mammal"
"Ovis_orientalis";0,681315;"Eco";"GAM";"Mammal"
"Ozotoceros_bezoarticus";0,692351;"Eco";"GAM";"Mammal"
"Panthera_leo";0,563227;"Eco";"GAM";"Mammal"
"Panthera_pardus";0,624176;"Eco";"GAM";"Mammal"
"Panthera_tigris";0,653428;"Eco";"GAM";"Mammal"
"Petaurista_elegans";0,624776;"Eco";"GAM";"Mammal"
"Phalanger_vestitus";0,6700125;"Eco";"GAM";"Mammal"
"Phoniscus_jagorii";0,682718;"Eco";"GAM";"Mammal"
"Pipistrellus_hesperidus";0,620805;"Eco";"GAM";"Mammal"
"Pipistrellus_pygmaeus";0,656477;"Eco";"GAM";"Mammal"
"Pipistrellus_rueppellii";0,606272;"Eco";"GAM";"Mammal"
"Poecilogale_albinucha";0,698899;"Eco";"GAM";"Mammal"
"Promops_centralis";0,685868;"Eco";"GAM";"Mammal"
"Prosciurillus_weberi";0,639925;"Eco";"GAM";"Mammal"
"Pteronotus_personatus";0,592201;"Eco";"GAM";"Mammal"
"Pteropus_hypomelanus";0,673174;"Eco";"GAM";"Mammal"
"Rhinolophus_arcuatus";0,680849;"Eco";"GAM";"Mammal"
"Rhinolophus_blasii";0,68118;"Eco";"GAM";"Mammal"
"Rhinolophus_clivosus";0,670295;"Eco";"GAM";"Mammal"
"Rhinolophus_ferrumequinum";0,676817;"Eco";"GAM";"Mammal"
"Rhinolophus_mehelyi";0,69639;"Eco";"GAM";"Mammal"
"Rhinolophus_philippinensis";0,681046666666667;"Eco";"GAM";"Mammal"
"Rhinopoma_muscatellum";0,645958;"Eco";"GAM";"Mammal"
"Rhogeessa_io";0,641398;"Eco";"GAM";"Mammal"
"Rousettus_aegyptiacus";0,675067;"Eco";"GAM";"Mammal"
"Saimiri_ustus";0,68643;"Eco";"GAM";"Mammal"
"Scotoecus_hirundo";0,617997777777778;"Eco";"GAM";"Mammal"
"Sorex_palustris";0,631073;"Eco";"GAM";"Mammal"
"Sphaeronycteris_toxophyllum";0,637411;"Eco";"GAM";"Mammal"
"Steatomys_pratensis";0,679476;"Eco";"GAM";"Mammal"
"Suncus_megalura";0,672543;"Eco";"GAM";"Mammal"
"Tadarida_fulminans";0,646098;"Eco";"GAM";"Mammal"
"Taphozous_melanopogon";0,671818;"Eco";"GAM";"Mammal"
"Taphozous_perforatus";0,657694;"Eco";"GAM";"Mammal"
"Tarsius_tarsier";0,683215;"Eco";"GAM";"Mammal"
"Triaenops_persicus";0,675998;"Eco";"GAM";"Mammal"
"Uranomys_ruddi";0,689627777777778;"Eco";"GAM";"Mammal"
"Vespertilio_sinensis";0,663574;"Eco";"GAM";"Mammal"
"Vulpes_cana";0,663555;"Eco";"GAM";"Mammal"
"Aepyceros_melampus";0,665230469072275;"Eco";"GBM";"Mammal"
"Bison_bison";0,616478542612193;"Eco";"GBM";"Mammal"
"Blastocerus_dichotomus";0,662193871359345;"Eco";"GBM";"Mammal"
"Bos_javanicus";0,690077739554462;"Eco";"GBM";"Mammal"
"Catopuma_temminckii";0,664626210509381;"Eco";"GBM";"Mammal"
"Cercartetus_lepidus";0,687729706965587;"Eco";"GBM";"Mammal"
"Cercopithecus_mitis";0,588449942284833;"Eco";"GBM";"Mammal"
"Cuon_alpinus";0,669756778248678;"Eco";"GBM";"Mammal"
"Dama_dama";0,638380447524143;"Eco";"GBM";"Mammal"
"Damaliscus_lunatus";0,693850535030288;"Eco";"GBM";"Mammal"
"Diceros_bicornis";0,614166379111784;"Eco";"GBM";"Mammal"
"Elephantulus_brachyrhynchus";0,699299224775087;"Eco";"GBM";"Mammal"
"Enhydra_lutris";0,684071910376733;"Eco";"GBM";"Mammal"
"Equus_quagga";0,66537423323216;"Eco";"GBM";"Mammal"
"Gazella_leptoceros";0,689453382877496;"Eco";"GBM";"Mammal"
"Giraffa_camelopardalis";0,634563299374666;"Eco";"GBM";"Mammal"
"Hippopotamus_amphibius";0,563027309253223;"Eco";"GBM";"Mammal"
"Hipposideros_caffer";0,67917078729316;"Eco";"GBM";"Mammal"
"Hipposideros_diadema";0,659749342430414;"Eco";"GBM";"Mammal"
"Hypsugo_savii";0,669814297323365;"Eco";"GBM";"Mammal"
"Lampronycteris_brachyotis";0,671642107532866;"Eco";"GBM";"Mammal"
"Lemmus_amurensis";0,69408937174779;"Eco";"GBM";"Mammal"
"Loxodonta_africana";0,579820272194487;"Eco";"GBM";"Mammal"
"Lycaon_pictus";0,635925063582654;"Eco";"GBM";"Mammal"
"Marmota_camtschatica";0,590985455115223;"Eco";"GBM";"Mammal"
"Microtus_miurus";0,69656518409609;"Eco";"GBM";"Mammal"
"Mimetillus_moloneyi";0,680915076281162;"Eco";"GBM";"Mammal"
"Mops_midas";0,572292727413328;"Eco";"GBM";"Mammal"
"Mus_minutoides";0,696202879447369;"Eco";"GBM";"Mammal"
"Myotis_bechsteinii";0,689926192799568;"Eco";"GBM";"Mammal"
"Myotis_keaysi";0,699707077104058;"Eco";"GBM";"Mammal"
"Myotis_longipes";0,667279019278271;"Eco";"GBM";"Mammal"
"Neacomys_musseri";0,674952148647357;"Eco";"GBM";"Mammal"
"Neofiber_alleni";0,667738447949128;"Eco";"GBM";"Mammal"
"Nycteris_parisii";0,569483723363998;"Eco";"GBM";"Mammal"
"Nycticeinops_schlieffeni";0,674648564047423;"Eco";"GBM";"Mammal"
"Nyctinomops_aurispinosus";0,67602468837037;"Eco";"GBM";"Mammal"
"Oligoryzomys_moojeni";0,668926867690589;"Eco";"GBM";"Mammal"
"Ovis_nivicola";0,682546722654891;"Eco";"GBM";"Mammal"
"Ozotoceros_bezoarticus";0,694561026928293;"Eco";"GBM";"Mammal"
"Panthera_leo";0,558661244526941;"Eco";"GBM";"Mammal"
"Panthera_pardus";0,669129665738022;"Eco";"GBM";"Mammal"
"Panthera_tigris";0,662607086759753;"Eco";"GBM";"Mammal"
"Petaurista_elegans";0,673082070437933;"Eco";"GBM";"Mammal"
"Phoniscus_jagorii";0,651717679578378;"Eco";"GBM";"Mammal"
"Pipistrellus_hesperidus";0,653232146197963;"Eco";"GBM";"Mammal"
"Pipistrellus_pygmaeus";0,638295640988891;"Eco";"GBM";"Mammal"
"Pipistrellus_rueppellii";0,623667389378905;"Eco";"GBM";"Mammal"
"Poecilogale_albinucha";0,687385062492587;"Eco";"GBM";"Mammal"
"Rhinolophus_blasii";0,693681288110695;"Eco";"GBM";"Mammal"
"Rhinolophus_clivosus";0,682311378124203;"Eco";"GBM";"Mammal"
"Rhinopoma_muscatellum";0,656823029540753;"Eco";"GBM";"Mammal"
"Scotoecus_hirundo";0,696316099325118;"Eco";"GBM";"Mammal"
"Suncus_megalura";0,695486707609312;"Eco";"GBM";"Mammal"
"Tadarida_fulminans";0,658352117508875;"Eco";"GBM";"Mammal"
"Taphozous_melanopogon";0,676260906584199;"Eco";"GBM";"Mammal"
"Taphozous_perforatus";0,662187841448412;"Eco";"GBM";"Mammal"
"Urocitellus_mollis";0,698035243350561;"Eco";"GBM";"Mammal"
"Abroscopus_superciliaris";0,669508;"Eco";"GAM";"Bird"
"Acanthiza_iredalei";0,687041;"Eco";"GAM";"Bird"
"Acrocephalus_rufescens";0,616793;"Eco";"GAM";"Bird"
"Acrocephalus_stentoreus";0,684099;"Eco";"GAM";"Bird"
"Aechmophorus_clarkii";0,696502;"Eco";"GAM";"Bird"
"Aechmophorus_occidentalis";0,685452;"Eco";"GAM";"Bird"
"Agapornis_pullarius";0,688575;"Eco";"GAM";"Bird"
"Amandava_subflava";0,666191;"Eco";"GAM";"Bird"
"Amazilia_sapphirina";0,695527;"Eco";"GAM";"Bird"
"Amazilia_versicolor";0,680371;"Eco";"GAM";"Bird"
"Amblyospiza_albifrons";0,663912;"Eco";"GAM";"Bird"
"Ammomanes_cinctura";0,685194;"Eco";"GAM";"Bird"
"Ammomanes_deserti";0,656852;"Eco";"GAM";"Bird"
"Anomalospiza_imberbis";0,636905;"Eco";"GAM";"Bird"
"Anser_albifrons";0,658865;"Eco";"GAM";"Bird"
"Anser_caerulescens";0,583886;"Eco";"GAM";"Bird"
"Anser_cygnoid";0,621529;"Eco";"GAM";"Bird"
"Anser_erythropus";0,619778;"Eco";"GAM";"Bird"
"Anser_indicus";0,680237;"Eco";"GAM";"Bird"
"Anthus_cervinus";0,620047;"Eco";"GAM";"Bird"
"Anthus_gustavi";0,687345;"Eco";"GAM";"Bird"
"Anthus_similis";0,665738;"Eco";"GAM";"Bird"
"Apalis_flavida";0,625034;"Eco";"GAM";"Bird"
"Apus_pallidus";0,619314;"Eco";"GAM";"Bird"
"Ara_militaris";0,696748;"Eco";"GAM";"Bird"
"Aramides_axillaris";0,699583;"Eco";"GAM";"Bird"
"Ardea_intermedia";0,673219;"Eco";"GAM";"Bird"
"Arenaria_interpres";0,65319;"Eco";"GAM";"Bird"
"Automolus_rufipileatus";0,694351;"Eco";"GAM";"Bird"
"Aythya_nyroca";0,690653;"Eco";"GAM";"Bird"
"Brachygalba_lugubris";0,67858;"Eco";"GAM";"Bird"
"Bradypterus_tacsanowskius";0,645735;"Eco";"GAM";"Bird"
"Branta_hutchinsii";0,692957;"Eco";"GAM";"Bird"
"Bubo_ascalaphus";0,65199;"Eco";"GAM";"Bird"
"Bucanetes_githagineus";0,69085;"Eco";"GAM";"Bird"
"Buphagus_erythrorhynchus";0,693068;"Eco";"GAM";"Bird"
"Burhinus_grallarius";0,674005;"Eco";"GAM";"Bird"
"Buteo_albonotatus";0,650333;"Eco";"GAM";"Bird"
"Buteo_lagopus";0,629495;"Eco";"GAM";"Bird"
"Cacatua_sanguinea";0,68025;"Eco";"GAM";"Bird"
"Calcarius_pictus";0,568024;"Eco";"GAM";"Bird"
"Calherodius_leuconotus";0,693008;"Eco";"GAM";"Bird"
"Calidris_alba";0,618332;"Eco";"GAM";"Bird"
"Calidris_alpina";0,648967;"Eco";"GAM";"Bird"
"Calidris_canutus";0,673263;"Eco";"GAM";"Bird"
"Calidris_ferruginea";0,674784;"Eco";"GAM";"Bird"
"Calidris_melanotos";0,624606;"Eco";"GAM";"Bird"
"Calidris_subminuta";0,623183;"Eco";"GAM";"Bird"
"Calidris_temminckii";0,696316;"Eco";"GAM";"Bird"
"Camaroptera_undosa";0,695315;"Eco";"GAM";"Bird"
"Campephaga_flava";0,687047;"Eco";"GAM";"Bird"
"Campephaga_quiscalina";0,684972;"Eco";"GAM";"Bird"
"Caprimulgus_natalensis";0,674238;"Eco";"GAM";"Bird"
"Caprimulgus_tristigma";0,658145;"Eco";"GAM";"Bird"
"Capsiempis_flaveola";0,681705;"Eco";"GAM";"Bird"
"Caracara_cheriway";0,660188;"Eco";"GAM";"Bird"
"Caryothraustes_canadensis";0,677847;"Eco";"GAM";"Bird"
"Centrocercus_urophasianus";0,692268;"Eco";"GAM";"Bird"
"Centropus_grillii";0,697748;"Eco";"GAM";"Bird"
"Cercomela_melanura";0,658893;"Eco";"GAM";"Bird"
"Charadrius_hiaticula";0,599218;"Eco";"GAM";"Bird"
"Charadrius_marginatus";0,60955;"Eco";"GAM";"Bird"
"Charadrius_melodus";0,649507;"Eco";"GAM";"Bird"
"Charadrius_nivosus";0,669646;"Eco";"GAM";"Bird"
"Charadrius_pallidus";0,688985;"Eco";"GAM";"Bird"
"Chloropeta_natalensis";0,668143;"Eco";"GAM";"Bird"
"Chrysomus_icterocephalus";0,663485;"Eco";"GAM";"Bird"
"Cinclus_cinclus";0,683032;"Eco";"GAM";"Bird"
"Circaetus_cinerascens";0,676785;"Eco";"GAM";"Bird"
"Cisticola_aberrans";0,695293;"Eco";"GAM";"Bird"
"Cisticola_brunnescens";0,670556;"Eco";"GAM";"Bird"
"Cisticola_erythrops";0,682551;"Eco";"GAM";"Bird"
"Cisticola_eximius";0,680081;"Eco";"GAM";"Bird"
"Cisticola_galactotes";0,697004;"Eco";"GAM";"Bird"
"Cistothorus_palustris";0,691527;"Eco";"GAM";"Bird"
"Colaptes_punctigula";0,619341;"Eco";"GAM";"Bird"
"Colaptes_rubiginosus";0,622397;"Eco";"GAM";"Bird"
"Columba_eversmanni";0,694877;"Eco";"GAM";"Bird"
"Columbina_passerina";0,688803;"Eco";"GAM";"Bird"
"Conirostrum_bicolor";0,659254;"Eco";"GAM";"Bird"
"Contopus_cinereus";0,688109;"Eco";"GAM";"Bird"
"Coracina_caesia";0,690478;"Eco";"GAM";"Bird"
"Corvus_capensis";0,697318;"Eco";"GAM";"Bird"
"Corvus_rhipidurus";0,679973;"Eco";"GAM";"Bird"
"Cursorius_cursor";0,671795;"Eco";"GAM";"Bird"
"Cygnus_buccinator";0,634363;"Eco";"GAM";"Bird"
"Cygnus_columbianus";0,67819;"Eco";"GAM";"Bird"
"Cyornis_unicolor";0,683439;"Eco";"GAM";"Bird"
"Dendroica_pinus";0,68365;"Eco";"GAM";"Bird"
"Dendroica_tigrina";0,699204;"Eco";"GAM";"Bird"
"Dendropicos_elliotii";0,650445;"Eco";"GAM";"Bird"
"Dendropicos_namaquus";0,696814;"Eco";"GAM";"Bird"
"Dendropicos_poecilolaemus";0,699946;"Eco";"GAM";"Bird"
"Dicaeum_hirundinaceum";0,691713;"Eco";"GAM";"Bird"
"Dysithamnus_mentalis";0,62578;"Eco";"GAM";"Bird"
"Egretta_caerulea";0,694265;"Eco";"GAM";"Bird"
"Egretta_gularis";0,592053;"Eco";"GAM";"Bird"
"Egretta_tricolor";0,647306;"Eco";"GAM";"Bird"
"Elaenia_albiceps";0,666035;"Eco";"GAM";"Bird"
"Emberiza_cabanisi";0,648574;"Eco";"GAM";"Bird"
"Emberiza_chrysophrys";0,616698;"Eco";"GAM";"Bird"
"Emberiza_cia";0,663276;"Eco";"GAM";"Bird"
"Emberiza_godlewskii";0,668744;"Eco";"GAM";"Bird"
"Emberiza_striolata";0,680869;"Eco";"GAM";"Bird"
"Empidonax_hammondii";0,695773;"Eco";"GAM";"Bird"
"Eremomela_icteropygialis";0,674248;"Eco";"GAM";"Bird"
"Esacus_recurvirostris";0,670864;"Eco";"GAM";"Bird"
"Estrilda_astrild";0,691246;"Eco";"GAM";"Bird"
"Eucometis_penicillata";0,695027;"Eco";"GAM";"Bird"
"Eudocimus_albus";0,69276;"Eco";"GAM";"Bird"
"Eudocimus_ruber";0,666255;"Eco";"GAM";"Bird"
"Eudromias_morinellus";0,602814;"Eco";"GAM";"Bird"
"Euphonia_laniirostris";0,654824;"Eco";"GAM";"Bird"
"Euplectes_afer";0,619522;"Eco";"GAM";"Bird"
"Euplectes_ardens";0,692267;"Eco";"GAM";"Bird"
"Euplectes_axillaris";0,646698;"Eco";"GAM";"Bird"
"Euplectes_franciscanus";0,675228;"Eco";"GAM";"Bird"
"Euplectes_gierowii";0,691944;"Eco";"GAM";"Bird"
"Euplectes_hordeaceus";0,636061;"Eco";"GAM";"Bird"
"Euplectes_macroura";0,659353;"Eco";"GAM";"Bird"
